,SKU,DESCRIPTION,YEAR,CAPACITY,URL,PRICE,SELLER_INFORMATION,OFFER_DESCRIPTION,COUNTRY
2332,11399,Ch Ducru-Beaucaillou,1986,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1986/-/-/u,200.0,The Redd Collection,1986Ch Ducru-Beaucaillou,USA
2335,11399,Ch Ducru-Beaucaillou,1986,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1986/-/-/u,229.95,Crush Wine & Spirits,1986Chateau Ducru-Beaucaillou750ml,USA
2336,11399,Ch Ducru-Beaucaillou,1986,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1986/-/-/u,239.98,Wine Exchange,Ducru Beaucaillou Saint Julien1986Pre-Arrival,USA
2337,11399,Ch Ducru-Beaucaillou,1986,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1986/-/-/u,243.55,Aabalat Fine & Rare Wines,"1986Ducru Beaucaillou StJulien,Red Blend",USA
2338,11399,Ch Ducru-Beaucaillou,1986,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1986/-/-/u,250.0,Morrell & Company,Ducru Beaucaillou Saint Julien1986750ML,USA
2340,11399,Ch Ducru-Beaucaillou,1986,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1986/-/-/u,299.99,"Zachys Wine and Liquor, Inc.",Ducru Beaucaillou1986(750ML),USA
2341,11399,Ch Ducru-Beaucaillou,1986,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1986/-/-/u,326.0,EC Cellars LLC,"1986Chateau Ducru-Beaucaillou,Saint-Julien,France,OWC",USA
2344,11399,Ch Ducru-Beaucaillou,1986,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1986/-/-/u,355.99,Applejack Wine & Spirits,1986Chateau Ducru Beaucaillou750ml,USA
2372,11400,Ch Ducru-Beaucaillou,1996,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1996/-/-/u,215.0,IronGate.Wine,1996Ducru Beaucaillou-750ml,USA
2373,11400,Ch Ducru-Beaucaillou,1996,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1996/-/-/u,215.0,Benchmark Wine Group,Ducru Beaucaillou1996,USA
2376,11400,Ch Ducru-Beaucaillou,1996,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1996/-/-/u,225.0,Cellaraiders,1996Ducru Beaucaillou,USA
2379,11400,Ch Ducru-Beaucaillou,1996,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1996/-/-/u,240.0,The Redd Collection,1996Ch Ducru-Beaucaillou,USA
2387,11400,Ch Ducru-Beaucaillou,1996,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1996/-/-/u,257.49,Fine Wine Discounters,"1996Chateau Ducru-Beaucaillou-Bordeaux Blend-2nd Growth-St.Julien-Bordeaux-Red,France",USA
2390,11400,Ch Ducru-Beaucaillou,1996,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1996/-/-/u,271.49,Inside The Grape,"1996Chateau Ducru-Beaucaillou-Bordeaux Blend-2nd Growth-St.Julien-Bordeaux-Red,France",USA
2391,11400,Ch Ducru-Beaucaillou,1996,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1996/-/-/u,275.0,Fine Wines International,"1996Chateau Ducru-Beaucaillou,Saint-Julien,France750ml",USA
2395,11400,Ch Ducru-Beaucaillou,1996,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1996/-/-/u,299.0, Shop,Chateau-Ducru-Beaucaillou Saint Julien1996,USA
2396,11400,Ch Ducru-Beaucaillou,1996,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1996/-/-/u,349.97,Wine.com,1996Chateau Ducru-Beaucaillou,USA
2397,11400,Ch Ducru-Beaucaillou,1996,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1996/-/-/u,369.98,Wine Exchange,Ducru Beaucaillou Saint Julien1996Pre-Arrival,USA
2398,11400,Ch Ducru-Beaucaillou,1996,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1996/-/-/u,375.0,Hart Davis Hart Wine Co.,"1996Chateau Ducru-Beaucaillou(750ml),St-Julien,2mecruclasse",USA
2399,11400,Ch Ducru-Beaucaillou,1996,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1996/-/-/u,379.0,Sokolin & Co.,1996Ducru Beaucaillou,USA
2401,11400,Ch Ducru-Beaucaillou,1996,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1996/-/-/u,445.0,Cellaraiders,1996Ducru Beaucaillou,USA
2402,11400,Ch Ducru-Beaucaillou,1996,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1996/-/-/u,449.99,"Zachys Wine and Liquor, Inc.",Ducru Beaucaillou1996(750ML),USA
2403,11400,Ch Ducru-Beaucaillou,1996,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1996/-/-/u,1000.0,Finding.Wine,Chateau Ducru Beaucaillou1996-Grand Cru1.5L,USA
2408,11401,Ch Ducru-Beaucaillou,1997,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1997/-/-/u,108.95,Vickers Wine On-line,Chateau-Ducru-Beaucaillou Saint Julien1997,USA
2409,11401,Ch Ducru-Beaucaillou,1997,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1997/-/-/u,109.0,IronGate.Wine,1997Ducru Beaucaillou-750mL,USA
2414,11401,Ch Ducru-Beaucaillou,1997,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1997/-/-/u,149.0,The Redd Collection,1997Ch Ducru-Beaucaillou,USA
2417,11401,Ch Ducru-Beaucaillou,1997,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/1997/-/-/u,165.0,"Winfield-Flynn, Ltd.",Chateau Ducru-Beaucaillou-St.-Julien1997(750ml),USA
2442,11402,Ch Ducru-Beaucaillou,2001,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2001/-/-/u,162.0,The Redd Collection,2001Ch Ducru-Beaucaillou,USA
2446,11402,Ch Ducru-Beaucaillou,2001,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2001/-/-/u,175.0,Mt. Carmel Wine & Spirits Co.,2001Chateau Ducru Beaucaillou,USA
2447,11402,Ch Ducru-Beaucaillou,2001,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2001/-/-/u,184.0,Flickinger Wines,2001Ch.Ducru-Beaucaillou St.Julien,USA
2448,11402,Ch Ducru-Beaucaillou,2001,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2001/-/-/u,185.0,Sokolin & Co.,2001Ducru Beaucaillou,USA
2450,11402,Ch Ducru-Beaucaillou,2001,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2001/-/-/u,219.98,Wine Exchange,Ducru Beaucaillou Saint Julien2001Pre-Arrival,USA
2452,11402,Ch Ducru-Beaucaillou,2001,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2001/-/-/u,225.0,"Sotheby's Wine New York, Retail","2001Ducru Beaucaillou,Saint Julien",USA
2453,11402,Ch Ducru-Beaucaillou,2001,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2001/-/-/u,299.99,Union Square Wine & Spirits,Chateau Ducru-Beaucaillou-Saint Julien2001,USA
2454,11402,Ch Ducru-Beaucaillou,2001,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2001/-/-/u,699.99,All Star Wine & Spirits,"2001Chateau Ducru Beaucaillou,Saint Julien",USA
2474,11402,Ch Ducru-Beaucaillou,2001,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2001/-/-/u,2107.99,Flickinger Wines,2001Ch.Ducru-Beaucaillou St.Julien,USA
2475,11402,Ch Ducru-Beaucaillou,2001,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2001/-/-/u,2232.0,Wine Cellarage,2001Chateau Ducru-Beaucaillou[Future Arrival],USA
2480,11403,Ch Ducru-Beaucaillou,2005,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2005/-/-/u,209.0,MacArthur Beverages,2005Chateau Ducru Beaucaillou St.Julien,USA
2481,11403,Ch Ducru-Beaucaillou,2005,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2005/-/-/u,209.0,Flickinger Wines,2005Ch.Ducru-Beaucaillou St.Julien,USA
2486,11403,Ch Ducru-Beaucaillou,2005,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2005/-/-/u,215.99,WineTransit.com Premium Wine & Spirits,"Chateau Ducru-Beaucaillou,Saint-Julien2005/750ml.",USA
2495,11403,Ch Ducru-Beaucaillou,2005,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2005/-/-/u,229.0,Westgarth Wines,2005Ducru Beaucaillou,USA
2496,11403,Ch Ducru-Beaucaillou,2005,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2005/-/-/u,229.0,Acker Merrall & Condit New York Retail,2005Ducru Beaucaillou,USA
2497,11403,Ch Ducru-Beaucaillou,2005,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2005/-/-/u,230.0,The Redd Collection,2005Ch Ducru-Beaucaillou,USA
2498,11403,Ch Ducru-Beaucaillou,2005,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2005/-/-/u,231.0,EC Cellars LLC,"2005Chateau Ducru-Beaucaillou,Saint-Julien,France",USA
2505,11403,Ch Ducru-Beaucaillou,2005,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2005/-/-/u,242.99,Winesanywhere,"2005Chateau Ducru-Beaucaillou St.Julien,France,Bordeaux,Haut Medoc,Saint Julien,Red",USA
2506,11403,Ch Ducru-Beaucaillou,2005,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2005/-/-/u,245.0,EC Cellars LLC,"2005Chateau Ducru-Beaucaillou,Saint-Julien,France,OWC",USA
2507,11403,Ch Ducru-Beaucaillou,2005,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2005/-/-/u,248.95,Vickers Wine On-line,Chateau-Ducru-Beaucaillou Saint Julien2005,USA
2508,11403,Ch Ducru-Beaucaillou,2005,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2005/-/-/u,249.99,"Total Wine & More, S. Las Vegas Blvd","2005Chateau Ducru Beaucaillou StJulien,Bordeaux Blend,Saint-Julien,Bordeaux,France",USA
2509,11403,Ch Ducru-Beaucaillou,2005,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2005/-/-/u,259.0,Sokolin & Co.,2005Ducru Beaucaillou,USA
2510,11403,Ch Ducru-Beaucaillou,2005,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2005/-/-/u,295.0,Hyde Park Gourmet Food & Wine,Chateau Ducru-Beaucaillou2005,USA
2511,11403,Ch Ducru-Beaucaillou,2005,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2005/-/-/u,350.0,Pogo's Liquor Inc.,Chateau Ducru-Beaucaillou-Bordeaux2005,USA
2512,11403,Ch Ducru-Beaucaillou,2005,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2005/-/-/u,350.74,Saratoga Wine Exchange,"2005Chateau Ducru-Beaucaillou St.Julien,France,Bordeaux,Saint Julien",USA
2527,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,130.0,Hart Davis Hart Wine Co.,"2006Chateau Ducru-Beaucaillou(750ml),St-Julien,2mecruclasse",USA
2538,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,155.0,Belmont Wine Exchange LLC,2006Ducru Beaucaillou,USA
2539,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,155.0,Wine Cellarage,2006Chateau Ducru-Beaucaillou Saint-Julien Deuxieme Cru,USA
2541,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,157.95,Vickers Wine On-line,Chateau-Ducru-Beaucaillou Saint Julien2006,USA
2542,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,158.0,The Redd Collection,2006Ch Ducru-Beaucaillou,USA
2543,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,158.0,European Wine Resource,2006Ducru-Beaucaillou,USA
2548,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,163.99,Lynnway Liquor Mart,Ch.Ducru Beaucaillou StJulien2006750ml,USA
2549,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,164.89,Canal's Mt. Ephraim,"CHATEAUDUCRUBEAUCAILLOU2006,Bordeaux,France",USA
2553,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,170.0,Flickinger Wines,2006Ch.Ducru-Beaucaillou St.Julien,USA
2555,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,174.99,Millesima - USA,"Chateau Ducru-Beaucaillou2006,Saint-Julien,Second Growth,Red",USA
2560,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,184.99,Laguna Cellar,"Chateau Ducru-Beaucaillou2006,Pauillac",USA
2562,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,192.49,Gwine.com,Chateau Ducru-Beaucaillou-St.-Julien2006,USA
2563,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,199.98,Wine Exchange,Ducru Beaucaillou Saint Julien2006Pre-Arrival,USA
2564,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,200.55,Aabalat Fine & Rare Wines,"2006Ducru Beaucaillou StJulien,Red Blend",USA
2568,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,220.0,Verve Wine - CA,Chateau Ducru Beaucaillou StJulien2006,USA
2569,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,224.99,Mission Wine & Spirits,Chateau Ducru Beaucaillou Saint Julien2006,USA
2570,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,228.84,Saratoga Wine Exchange,"2006Chateau Ducru-Beaucaillou St.Julien,France,Bordeaux,Saint Julien",USA
2572,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,255.0,"Martha's Vineyard, Ltd.",Chateau Ducru Beaucaillou Saint-Julien2006,USA
2573,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,264.97,WineChateau.com - Buy Wine Online,Chateau Ducru-Beaucaillou Saint-Julien2006Red,USA
2575,11404,Ch Ducru-Beaucaillou,2006,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2006/-/-/u,334.9,"Wilkinson Wine Cellar, LLC.",ChateauDUCRUBEAUCAILLOU2006(1500ml),USA
2581,11405,Ch Ducru-Beaucaillou,2009,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2009/-/-/u,269.94,Plume Ridge  Shop,"2009Chateau Ducru Beaucaillou,Saint-Julien,France,Bordeaux",USA
2584,11405,Ch Ducru-Beaucaillou,2009,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2009/-/-/u,275.0,Cellaraiders,2009Ducru Beaucaillou,USA
2592,11405,Ch Ducru-Beaucaillou,2009,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2009/-/-/u,294.94,JJ Buckley Fine Wines,"2009Ducru Beaucaillou Bordeaux Blend,St Julien",USA
2593,11405,Ch Ducru-Beaucaillou,2009,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2009/-/-/u,299.0,Acker Merrall & Condit New York Retail,2009Ducru Beaucaillou,USA
2594,11405,Ch Ducru-Beaucaillou,2009,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2009/-/-/u,300.0,Westgarth Wines,2009Ducru Beaucaillou,USA
2595,11405,Ch Ducru-Beaucaillou,2009,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2009/-/-/u,304.0,The Redd Collection,2009Ch Ducru-Beaucaillou,USA
2605,11405,Ch Ducru-Beaucaillou,2009,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2009/-/-/u,334.98,B-21,"2009Chateau Ducru-Beaucaillou,Saint-Julien,Bordeaux,France",USA
2610,11405,Ch Ducru-Beaucaillou,2009,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2009/-/-/u,345.0,Vinfolio,2009Ducru-Beaucaillou750ML,USA
2618,11405,Ch Ducru-Beaucaillou,2009,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2009/-/-/u,369.0,M & D Fine Wines & Spirits,2009Chateau Ducru-Beaucaillou Saint Julien,USA
2619,11405,Ch Ducru-Beaucaillou,2009,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2009/-/-/u,369.0,Sokolin & Co.,2009Ducru Beaucaillou,USA
2620,11405,Ch Ducru-Beaucaillou,2009,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2009/-/-/u,369.98,Wine Exchange,Ducru Beaucaillou Saint Julien2009Pre-Arrival,USA
2622,11405,Ch Ducru-Beaucaillou,2009,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2009/-/-/u,374.95,Gil Turner's Fine Wines and Spirits,2009Chateau Ducru Beaucaillou St.Julien(750ML),USA
2623,11405,Ch Ducru-Beaucaillou,2009,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2009/-/-/u,375.0,Belmont Wine Exchange LLC,2009Ducru Beaucaillou,USA
2625,11405,Ch Ducru-Beaucaillou,2009,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2009/-/-/u,379.0,Hart Davis Hart Wine Co.,"2009Chateau Ducru-Beaucaillou(750ml),St-Julien,2mecruclasse",USA
2626,11405,Ch Ducru-Beaucaillou,2009,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2009/-/-/u,379.99,K&L Wine Merchants,2009Ducru-Beaucaillou St-Julien,USA
2639,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,225.0,Elevation Wine Fund,"2010Ducru-Beaucaillou,France,Bordeaux,Haut Medoc,Saint Julien,Red",USA
2644,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,228.0,The Redd Collection,2010Ch Ducru-Beaucaillou,USA
2647,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,234.94,JJ Buckley Fine Wines,"2010Ducru Beaucaillou Bordeaux Blend,St Julien",USA
2649,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,238.0,Westgarth Wines,2010Ducru Beaucaillou,USA
2650,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,238.94,The Wine Club,2010Ducru Beaucaillou Saint Julien,USA
2651,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,239.0,Vinfolio,2010Ducru-Beaucaillou750ML,USA
2658,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,268.0,DOB Wines/Duke of Bourbon,Ducru Beaucaillou2010Bordeaux Saint-Julien,USA
2659,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,269.0,Sokolin & Co.,2010Ducru Beaucaillou,USA
2662,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,275.0,Mister Wright Fine Wines & Spirits,2010Chateau Ducru-Beaucaillou,USA
2665,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,287.2,WineMadeEasy.com (Prestige Wine),Ducru-Beaucaillou Saint-Julien2010/750ml.Medoc,USA
2666,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,287.99,WineDeals.com Premier Wine & Spirits,Ducru-Beaucaillou Saint-Julien2010/750ml.,USA
2667,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,288.0,Laguna Cellar,"Chateau Ducru-Beaucaillou2010,Pauillac",USA
2668,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,289.0,Italian Wine Merchants,"Chateau Ducru Beaucaillou2010""Saint-Julien""2eme Grand Cru Classeen1855750ml",USA
2670,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,289.98,Wine Exchange,Ducru Beaucaillou Saint Julien2010Pre-Arrival,USA
2671,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,295.0,Hart Davis Hart Wine Co.,"2010Chateau Ducru-Beaucaillou(750ml),St-Julien,2mecruclasse",USA
2672,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,299.0,Belmont Wine Exchange LLC,2010Ducru Beaucaillou,USA
2673,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,299.97,"Total Wine & More, Bellevue","2010Chateau Ducru Beaucaillou StJulien,Bordeaux Blend,Saint-Julien,Bordeaux,France",USA
2674,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,299.98,Rye Brook Wine & Spirit Shop,"Chateau-Ducru-Beaucaillou Saint Julien2010,Bordeaux,St.Julien",USA
2675,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,299.99,"Total Wine & More, S. Las Vegas Blvd","2010Chateau Ducru Beaucaillou StJulien,Bordeaux Blend,Saint-Julien,Bordeaux,France",USA
2676,11406,Ch Ducru-Beaucaillou,2010,750ml,https://www.wine-searcher.com/find/ch+ducru+beaucaillou/2010/-/-/u,299.99,"Total Wine & More, Sacramento Arden","2010Chateau Ducru Beaucaillou StJulien,Bordeaux Blend,Saint-Julien,Bordeaux,France",USA
2690,11407,Ch Duhart-Milon,2000,750ml,https://www.wine-searcher.com/find/ch+duhart-milon/2000/-/-/u,114.98,The Wine Club,"2000Duhart Milon,Pauillac",USA
2692,11407,Ch Duhart-Milon,2000,750ml,https://www.wine-searcher.com/find/ch+duhart-milon/2000/-/-/u,119.0,Belmont Wine Exchange LLC,2000Duhart Milon Rothschild,USA
2693,11407,Ch Duhart-Milon,2000,750ml,https://www.wine-searcher.com/find/ch+duhart-milon/2000/-/-/u,119.0,Cellaraiders,2000Duhart Milon,USA
2697,11407,Ch Duhart-Milon,2000,750ml,https://www.wine-searcher.com/find/ch+duhart-milon/2000/-/-/u,124.88,Station Plaza Wine,"Chateau-Duhart-Milon Pauillac2000,Bordeaux",USA
2699,11407,Ch Duhart-Milon,2000,750ml,https://www.wine-searcher.com/find/ch+duhart-milon/2000/-/-/u,129.0,Benchmark Wine Group,Duhart Milon2000,USA
2702,11407,Ch Duhart-Milon,2000,750ml,https://www.wine-searcher.com/find/ch+duhart-milon/2000/-/-/u,133.0,The Redd Collection,2000Ch Duhart-Milon,USA
2704,11407,Ch Duhart-Milon,2000,750ml,https://www.wine-searcher.com/find/ch+duhart-milon/2000/-/-/u,139.95,Crush Wine & Spirits,2000Chateau Duhart-Milon750ml,USA
2706,11407,Ch Duhart-Milon,2000,750ml,https://www.wine-searcher.com/find/ch+duhart-milon/2000/-/-/u,154.55,Aabalat Fine & Rare Wines,"2000Duhart Milon Rothschild Pauillac,Red Blend",USA
2717,11407,Ch Duhart-Milon,2000,750ml,https://www.wine-searcher.com/find/ch+duhart-milon/2000/-/-/u,780.0,Wine Cellarage,2000Chateau Duhart Milon[Future Arrival],USA
2727,11408,Ch Figeac,1998,750ml,https://www.wine-searcher.com/find/ch+figeac/1998/-/-/u,163.89,Aabalat Fine & Rare Wines,"1998Figeac StEmilion,Red Blend",USA
2735,11408,Ch Figeac,1998,750ml,https://www.wine-searcher.com/find/ch+figeac/1998/-/-/u,245.0,Vinfolio,1998Figeac750ML,USA
2736,11408,Ch Figeac,1998,750ml,https://www.wine-searcher.com/find/ch+figeac/1998/-/-/u,250.0,Gordon's Fine Wines & Liquors,FIGEAC1998750ML,USA
2737,11408,Ch Figeac,1998,750ml,https://www.wine-searcher.com/find/ch+figeac/1998/-/-/u,250.0,The Redd Collection,1998Ch Figeac,USA
2738,11408,Ch Figeac,1998,750ml,https://www.wine-searcher.com/find/ch+figeac/1998/-/-/u,250.0,Pogo's Liquor Inc.,Chateau Figeac-St.-Emilion1998,USA
2742,11408,Ch Figeac,1998,750ml,https://www.wine-searcher.com/find/ch+figeac/1998/-/-/u,295.0,"Sotheby's Wine New York, Retail","1998Figeac,Saint Emilion",USA
2743,11408,Ch Figeac,1998,750ml,https://www.wine-searcher.com/find/ch+figeac/1998/-/-/u,315.0,Sokolin & Co.,1998Figeac,USA
2746,11408,Ch Figeac,1998,750ml,https://www.wine-searcher.com/find/ch+figeac/1998/-/-/u,801.89,Aabalat Fine & Rare Wines,"1998Figeac StEmilion,Red Blend",USA
2750,11408,Ch Figeac,1998,750ml,https://www.wine-searcher.com/find/ch+figeac/1998/-/-/u,2650.0,Grand Vin Wine Merchants US,Figeac1998(6.0L)Saint Emilion,USA
2754,11408,Ch Figeac,1998,750ml,https://www.wine-searcher.com/find/ch+figeac/1998/-/-/u,3142.89,Aabalat Fine & Rare Wines,"1998Figeac StEmilion,Red Blend",USA
2767,11409,Ch Figeac,2000,750ml,https://www.wine-searcher.com/find/ch+figeac/2000/-/-/u,219.0,Sokolin & Co.,2000Figeac,USA
2769,11409,Ch Figeac,2000,750ml,https://www.wine-searcher.com/find/ch+figeac/2000/-/-/u,228.0,The Redd Collection,2000Ch Figeac,USA
